symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,fuel-type-diesel,fuel-type-gas,Car Size,make_alfa-romero,make_audi,make_bmw,make_cadillac,make_chevrolet,make_chrysler,make_dodge,make_ford,make_gmc,make_honda,make_isuzu,make_jaguar,make_kia,make_mazda,make_mercedes-benz,make_mercury,make_mitsubishi,make_nissan,make_peugot,make_plymouth,make_porsche,make_renault,make_saab,make_subaru,make_toyota,make_volkswagen,make_volvo,aspiration_std,aspiration_turbo,num-of-doors_four,num-of-doors_two,body-style_convertible,body-style_hardtop,body-style_hatchback,body-style_sedan,body-style_wagon,drive-wheels_4wd,drive-wheels_fwd,drive-wheels_rwd,engine-location_front,engine-location_rear,engine-type_dohc,engine-type_l,engine-type_ohc,engine-type_ohcf,engine-type_ohcv,engine-type_rotor,num-of-cylinders_eight,num-of-cylinders_five,num-of-cylinders_four,num-of-cylinders_six,num-of-cylinders_three,num-of-cylinders_twelve,num-of-cylinders_two,fuel-system_1bbl,fuel-system_2bbl,fuel-system_4bbl,fuel-system_idi,fuel-system_mfi,fuel-system_mpfi,fuel-system_spdi,fuel-system_spfi,horsepower-binned_high,horsepower-binned_low,horsepower-binned_medium
3,121,88.6,0.811148486304661,0.890277777777778,0.816053511705686,2548,130,3.47,2.68,9.0,111.0,5000.0,21,27,13495,11.1904761904762,9.37037037037037,0,1,0.589310980360434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,121,88.6,0.811148486304661,0.890277777777778,0.816053511705686,2548,130,3.47,2.68,9.0,111.0,5000.0,21,27,16500,11.1904761904762,9.37037037037037,0,1,0.589310980360434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,121,94.5,0.822681403171552,0.909722222222222,0.876254180602007,2823,152,2.68,3.47,9.0,154.0,5000.0,19,26,16500,12.3684210526316,9.73076923076923,0,1,0.655798753243544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,164,99.8,0.848630466122057,0.919444444444444,0.908026755852843,2337,109,3.19,3.4,10.0,102.0,5500.0,24,30,13950,9.79166666666667,8.43333333333333,0,1,0.708504736006669,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,164,99.4,0.848630466122057,0.922222222222222,0.908026755852843,2824,136,3.19,3.4,8.0,115.0,5500.0,18,22,17450,13.0555555555556,11.5,0,1,0.710645233698532,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2,121,99.8,0.851994233541567,0.920833333333333,0.887959866220736,2507,136,3.19,3.4,8.5,110.0,5500.0,19,25,15250,12.3684210526316,10.12,0,1,0.696644198023526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,158,105.8,0.925997116770783,0.991666666666667,0.931438127090301,2844,136,3.19,3.4,8.5,110.0,5500.0,19,25,17710,12.3684210526316,10.12,0,1,0.855321444968197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,121,105.8,0.925997116770783,0.991666666666667,0.931438127090301,2954,136,3.19,3.4,8.5,110.0,5500.0,19,25,18920,12.3684210526316,10.12,0,1,0.855321444968197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,158,105.8,0.925997116770783,0.991666666666667,0.934782608695652,3086,131,3.13,3.4,8.3,140.0,5500.0,17,20,23875,13.8235294117647,12.65,0,1,0.858392617122482,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,192,101.2,0.849591542527631,0.9,0.908026755852843,2395,108,3.5,2.8,8.8,101.0,5800.0,23,29,16430,10.2173913043478,8.72413793103448,0,1,0.69430666694524,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
